id,old_id,name,reaction_eq_annotation,reaction_eq,reaction_abbreviation,reaction_eq_name,GPR,lower_bound,upper_bound,Object,EC_number,Unique_EC,annotation,Subsystem,KEGG_pathway,KEGG_iZM516_pathway,notes,annotated_in_pathway
rxn01790,rxn01790_c0,R_Pantoate_NADP_plus__2_oxidoreductase_c0,"{""cpd00006_c0"":-1.0,""cpd00408_c0"":-1.0,""cpd00005_c0"":1.0,""cpd00067_c0"":1.0,""cpd00712_c0"":1.0}",cpd00006_c0 + cpd00408_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00712_c0,nadp_c + pant-R_c <=> nadph_c + h_c + 2dhp_c,NADP_c0 + Pantoate_c0 <=> NADPH_c0 + H_plus_c0 + 2_Dehydropantoate_c0,ZMO1141,-1000,1000,0,1.1.1.169,1.1.1.169,"{'AraCyc': '2-DEHYDROPANTOATE-REDUCT-RXN', 'bigg.reaction': 'DPR; DPRm; ILV5_3; PAN5', 'BrachyCyc': '2-DEHYDROPANTOATE-REDUCT-RXN', 'kegg.reaction': 'R02472', 'biocyc': 'META:2-DEHYDROPANTOATE-REDUCT-RXN', 'seed.reaction': 'rxn01790', 'ec-code': '1.1.1.169', 'rhea': '16235','sbo':'SBO:0000176'}",Branched-chain amino acids; CBSS-269801.1.peg.1725; Coenzyme A,Pantothenate and CoA biosynthesis,Cofactor/vitamin,,
rxn01791,rxn01791_c0,R_Pantoate_beta_alanine_ligase_AMP_forming_c0,"{""cpd00002_c0"":-1.0,""cpd00085_c0"":-1.0,""cpd00408_c0"":-1.0,""cpd00012_c0"":1.0,""cpd00018_c0"":1.0,""cpd00067_c0"":2.0,""cpd00644_c0"":1.0}",cpd00002_c0 + cpd00085_c0 + cpd00408_c0 --> cpd00012_c0 + cpd00018_c0 + 2.0 cpd00067_c0 + cpd00644_c0,atp_c + ala-B_c + pant-R_c --> ppi_c + amp_c + 2.0 h_c + pnto-R_c,ATP_c0 + beta_Alanine_c0 + Pantoate_c0 --> PPi_c0 + AMP_c0 + 2.0 H_plus_c0 + PAN_c0,ZMO1954 or ZMO1971,0,1000,0,6.3.2.1,6.3.2.1,"{'AraCyc': 'PANTOATE-BETA-ALANINE-LIG-RXN', 'bigg.reaction': 'PANTS; YIL145C', 'BrachyCyc': 'PANTOATE-BETA-ALANINE-LIG-RXN', 'kegg.reaction': 'R02473', 'biocyc': 'META:PANTOATE-BETA-ALANINE-LIG-RXN', 'seed.reaction': 'rxn01791', 'ec-code': '6.3.2.1', 'rhea': '10913','sbo':'SBO:0000176'}",Clustering-based subsystems; Coenzyme A,Pantothenate and CoA biosynthesis,Cofactor/vitamin,,pantothenate biosynthesis
rxn01800,rxn01800_c0,Deoxycytidine_aminohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00654_c0"":-1.0,""cpd00013_c0"":1.0,""cpd00412_c0"":1.0}",cpd00001_c0 + cpd00067_c0 + cpd00654_c0 --> cpd00013_c0 + cpd00412_c0,h2o_c + h_c + dcyt_c --> nh4_c + duri_c,H2O_c0 + H_plus_c0 + Deoxycytidine_c0 --> NH3_c0 + Deoxyuridine_c0,ZMO0864 or ZMO0914,0,1000,0,3.5.4.14|3.5.4.5,3.5.4.14|3.5.4.5,"{'AraCyc': 'CYTIDEAM-RXN', 'bigg.reaction': 'CDD1_2; DCYTD', 'BrachyCyc': 'CYTIDEAM-RXN', 'kegg.reaction': 'R02485', 'biocyc': 'META:CYTIDEAM-RXN', 'seed.reaction': 'rxn01800', 'ec-code': '3.5.4.5', 'rhea': '13434','sbo':'SBO:0000176'}",Deaminase; Pyrimidines; RNA processing and modification; Programmed Cell Death and Toxin-antitoxin Systems,Pyrimidine metabolism,Nucleotide,,pyrimidine metabolism
rxn01807,rxn01807_c0,ATP_pyridoxal_5_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00419_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00067_c0"":1.0,""cpd00493_c0"":1.0}",cpd00002_c0 + cpd00419_c0 <=> cpd00008_c0 + cpd00067_c0 + cpd00493_c0,atp_c + pydam_c <=> adp_c + h_c + pyam5p_c,ATP_c0 + PM_c0 <=> ADP_c0 + H_plus_c0 + Pyridoxamine_phosphate_c0,ZMO1600,-1000,1000,0,2.7.1.35,2.7.1.35,"{'AraCyc': 'PYRAMKIN-RXN', 'bigg.reaction': 'PYDAMK; U82', 'BrachyCyc': 'PYRAMKIN-RXN', 'kegg.reaction': 'R02493', 'biocyc': 'META:PYRAMKIN-RXN', 'seed.reaction': 'rxn01807', 'ec-code': '2.7.1.35', 'rhea': '25105','sbo':'SBO:0000176'}",Pyridoxine; Plant-Prokaryote DOE project,Vitamin B6 metabolism,Cofactor/vitamin,,
rxn01834,rxn01834_c0,R_S_Lactoylglutathione_methylglyoxal_lyase_isomerizing_c0,"{""cpd02182_c0"":-1.0,""cpd00042_c0"":1.0,""cpd00428_c0"":1.0}",cpd02182_c0 <=> cpd00042_c0 + cpd00428_c0,lgt-S_c <=> gthrd_c + mthgxl_c,(R)_S_Lactoylglutathione_c0 <=> GSH_c0 + 2_Oxopropanal_c0,ZMO0760 or ZMO1721 or ZMO0030,-1000,1000,0,4.4.1.5,4.4.1.5,"{'AraCyc': 'GLYOXI-RXN', 'bigg.reaction': 'GLO1; LGTHL', 'BrachyCyc': 'GLYOXI-RXN', 'kegg.reaction': 'R02530', 'biocyc': 'META:GLYOXI-RXN', 'seed.reaction': 'rxn01834', 'ec-code': '4.4.1.5', 'rhea': '19072','sbo':'SBO:0000176'}",Central carbohydrate metabolism; Oxidative stress,Pyruvate metabolism,Carbohydrate,,methylglyoxal degradation
rxn01843,rxn01843_c0,2_phenylacetamide_amidohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd01647_c0"":-1.0,""cpd00013_c0"":1.0,""cpd00430_c0"":1.0}",cpd00001_c0 + cpd00067_c0 + cpd01647_c0 <=> cpd00013_c0 + cpd00430_c0,h2o_c + h_c + pad_c <=> nh4_c + pac_c,H2O_c0 + H_plus_c0 + 2_Phenylacetamide_c0 <=> NH3_c0 + PACT_c0,ZMO1370,-1000,1000,0,3.5.1.4,3.5.1.4,"{'bigg.reaction': 'AMD2_2; AMID2', 'kegg.reaction': 'R02540', 'biocyc': 'META:RXN-12492', 'TS_Athaliana': 'rxn720_c; rxn720_v', 'iIN800': 'AMD2_2', 'seed.reaction': 'rxn01843','sbo':'SBO:0000176'}",Ammonium_metabolism_H._pylori; Amidase_clustered_with_urea_and_nitrile_hydratase_functions,Phenylalanine metabolism,Amino acids,,
rxn01851,rxn01851_c0,4_aminobutanal_NAD_plus__1_oxidoreductase_c0,"{""cpd00001_c0"":-1.0,""cpd00003_c0"":-1.0,""cpd00434_c0"":-1.0,""cpd00004_c0"":1.0,""cpd00067_c0"":2.0,""cpd00281_c0"":1.0}",cpd00001_c0 + cpd00003_c0 + cpd00434_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00281_c0,h2o_c + nad_c + 4abutn_c --> nadh_c + 2.0 h_c + 4abut_c,H2O_c0 + NAD_c0 + 4_Aminobutanal_c0 --> NADH_c0 + 2.0 H_plus_c0 + GABA_c0,ZMO1407,0,1000,0,1.2.1.-|1.2.1.19|1.2.1.3,1.2.1.-|1.2.1.19|1.2.1.3,"{'AraCyc': 'AMINOBUTDEHYDROG-RXN', 'bigg.reaction': 'ABUTD; ABUTDm; U68', 'ChlamyCyc': 'AMINOBUTDEHYDROG-RXN', 'kegg.reaction': 'R02549', 'biocyc': 'META:AMINOBUTDEHYDROG-RXN', 'seed.reaction': 'rxn01851', 'ec-code': '1.2.1.19', 'rhea': '19106','sbo':'SBO:0000176'}","Arginine; urea cycle, polyamines; Central carbohydrate metabolism; Gamma-aminobutyrate_(GABA)_shunt; Phospholipids",Arginine and proline metabolism,Amino acids,,
rxn01858,rxn01858_c0,Deoxyadenosine_aminohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00438_c0"":-1.0,""cpd00013_c0"":1.0,""cpd03279_c0"":1.0}",cpd00001_c0 + cpd00067_c0 + cpd00438_c0 --> cpd00013_c0 + cpd03279_c0,h2o_c + h_c + dad-2_c --> nh4_c + din_c,H2O_c0 + H_plus_c0 + Deoxyadenosine_c0 --> NH3_c0 + Deoxyinosine_c0,ZMO0971 or ZMO0655,0,1000,0,3.5.4.4,3.5.4.4,"{'AraCyc': 'ADDALT-RXN', 'bigg.reaction': 'AAH1_2; DADA', 'BrachyCyc': 'ADDALT-RXN', 'kegg.reaction': 'R02556', 'biocyc': 'META:ADDALT-RXN', 'seed.reaction': 'rxn01858', 'ec-code': '3.5.4.4', 'rhea': '28190','sbo':'SBO:0000176'}",Quinone cofactors; Purines,Purine metabolism,Nucleotide,,purine metabolism
rxn01871,rxn01871_c0,acetyl_CoA_enzyme_N6_dihydrolipoyllysine_S_acetyltransferase_c0,"{""cpd00022_c0"":-1.0,""cpd00449_c0"":-1.0,""cpd00010_c0"":1.0,""cpd00836_c0"":1.0}",cpd00022_c0 + cpd00449_c0 <=> cpd00010_c0 + cpd00836_c0,accoa_c + dhlam_c --> coa_c + adhlam_c,Acetyl_CoA_c0 + Dihydrolipoamide_c0 <=> CoA_c0 + S_Acetyldihydrolipoamide_c0,ZMO0510,0,1000,0,2.3.1.12,2.3.1.12,"{'AraCyc': 'DIHYDLIPACETRANS-RXN', 'bigg.reaction': 'LAT1; PDHbr', 'BrachyCyc': 'DIHYDLIPACETRANS-RXN', 'kegg.reaction': 'R02569', 'biocyc': 'META:DIHYDLIPACETRANS-RXN', 'seed.reaction': 'rxn01871', 'ec-code': '2.3.1.12', 'rhea': '33151','sbo':'SBO:0000176'}",Central carbohydrate metabolism; Fermentation; Lipoic acid,Pyruvate metabolism,Carbohydrate,,oxidative decarboxylation of pyruvate|acetyl CoA biosynthesis
rxn01917,rxn01917_c0,ATP_N_acetyl_L_glutamate_5_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00477_c0"":-1.0,""cpd00008_c0"":1.0,""cpd02552_c0"":1.0}",cpd00002_c0 + cpd00477_c0 <=> cpd00008_c0 + cpd02552_c0,atp_c + acglu_c <=> adp_c + acg5p_c,ATP_c0 + N_Acetyl_L_glutamate_c0 <=> ADP_c0 + n_acetylglutamyl_phosphate_c0,ZMO1494,-1000,1000,0,2.7.2.8,2.7.2.8,"{'AraCyc': 'ACETYLGLUTKIN-RXN', 'bigg.reaction': 'ACGK; ACGKm', 'BrachyCyc': 'ACETYLGLUTKIN-RXN', 'kegg.reaction': 'R02649', 'biocyc': 'META:ACETYLGLUTKIN-RXN', 'seed.reaction': 'rxn01917', 'ec-code': '2.7.2.8', 'rhea': '14632','sbo':'SBO:0000176'}","Arginine; urea cycle, polyamines; slr0575",2-Oxocarboxylic acid metabolism,Amino acids,,arginine metabolism
rxn01948,rxn01948_c0,5_Hydroxy_L_tryptophan_decarboxy_lyase_c0,"{""cpd00067_c0"":-1.0,""cpd00490_c0"":-1.0,""cpd00011_c0"":1.0,""cpd00579_c0"":1.0}",cpd00067_c0 + cpd00490_c0 <=> cpd00011_c0 + cpd00579_c0,h_c + 5-Hydroxy-L-tryptophan_c --> co2_c + Serotonin_c,H_plus_c0 + 5_Hydroxy_L_tryptophan_c0 <=> CO2_c0 + Serotonin_c0,ZMO1496,0,1000,0,4.1.1.28,4.1.1.28,"{'AlgaGEM': 'R_R02701_c', 'kegg.reaction': 'R02701', 'iRS1563': 'R_R02701_c', 'iRS1597': 'R02701_c', 'seed.reaction': 'rxn01948','sbo':'SBO:0000176'}",,Tryptophan metabolism,Amino acids,,
rxn01962,db_rxn01962,XTP pyrophosphohydrolase,"{""cpd00001_c0"":-1.0,""cpd00530_c0"":-1.0,""cpd00012_c0"":1.0,""cpd00497_c0"":1.0,""cpd00067_c0"":1.0}",cpd00001_c0 + cpd00530_c0 <=> cpd00012_c0 + cpd00497_c0 + cpd00067_c0,h2o_c + xtp_c --> ppi_c + h_c + xmp_c,H2O_c0 + XTP_c0 <=> PPi_c0 + XMP_c0 + H_plus_c0,ZMO0013,0,1000,0,3.6.1.-|3.6.1.19|3.6.1.66,3.6.1.-|3.6.1.19|3.6.1.66,"{'AlgaGEM': 'R_R02720_c', 'bigg.reaction': 'NTPP11; XTPASE', 'EcoCyc': 'RXN0-1603', 'kegg.reaction': 'R02720', 'biocyc': 'META:RXN0-1603', 'seed.reaction': 'rxn01962', 'ec-code': '3.6.1.66', 'rhea': '28611','sbo':'SBO:0000176'}",,Purine metabolism,Nucleotide,,6-hydroxymethyl-dihydropterin diphosphate biosynthesis
rxn01964,rxn01964_c0,L_serine_hydro_lyase_adding_1_C_indol_3_ylglycerol_3_phosphate_L_tryptophan_and_glyceraldehyde_3_phosphate_forming_c0,"{""cpd00054_c0"":-1.0,""cpd02210_c0"":-1.0,""cpd00001_c0"":1.0,""cpd00065_c0"":1.0,""cpd00102_c0"":1.0}",cpd00054_c0 + cpd02210_c0 --> cpd00001_c0 + cpd00065_c0 + cpd00102_c0,ser-L_c + 3ig3p_c --> h2o_c + trp-L_c + g3p_c,L_Serine_c0 + Indoleglycerol_phosphate_c0 --> H2O_c0 + L_Tryptophan_c0 + Glyceraldehyde3_phosphate_c0,ZMO0584 and ZMO0585 or ZMO1879,0,1000,0,4.2.1.20,4.2.1.20,"{'AraCyc': 'TRYPSYN-RXN', 'bigg.reaction': 'TRPS1r', 'BrachyCyc': 'TRYPSYN-RXN', 'kegg.reaction': 'R02722', 'biocyc': 'META:TRYPSYN-RXN', 'seed.reaction': 'rxn01964', 'ec-code': '4.2.1.20', 'rhea': '10533','sbo':'SBO:0000176'}",Aromatic amino acids and derivatives; Plant Hormones,Biosynthesis of secondary metabolites,Amino acids,,tryptophan metabolism
rxn01972,db_rxn01972,"N6-Acetyl-LL-2,6-diaminoheptanedioate amidohydrolase","{""cpd00001_c0"":-1.0,""cpd02685_c0"":-1.0,""cpd00029_c0"":1.0,""cpd00504_c0"":1.0}",cpd00001_c0 + cpd02685_c0 <=> cpd00029_c0 + cpd00504_c0,h2o_c + 26dapime_c --> ac_c + 26dap-LL_c,H2O_c0 + N_acetyl_LL_2_6_diaminopimelate_c0 <=> Acetate_c0 + LL_2_6_Diaminopimelate_c0,,0,1000,0,3.5.1.47,3.5.1.47,"{'bigg.reaction': 'ADPDA', 'kegg.reaction': 'R02733', 'biocyc': 'META:N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN', 'RiceCyc': 'N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN', 'iAG612': 'rbs_477', 'seed.reaction': 'rxn01972', 'ec-code': '3.5.1.47', 'rhea': '20406','sbo':'SBO:0000176'}","Lysine, threonine, methionine, and cysteine; 271-Bsub",Biosynthesis of secondary metabolites,Amino acids,,
rxn01973,rxn01973_c0,N_Succinyl_LL_2_6_diaminoheptanedioate_amidohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd02698_c0"":-1.0,""cpd00036_c0"":1.0,""cpd00504_c0"":1.0}",cpd00001_c0 + cpd02698_c0 <=> cpd00036_c0 + cpd00504_c0,h2o_c + sl26da_c --> succ_c + 26dap-LL_c,H2O_c0 + N_Succinyl_L_2_6_diaminopimelate_c0 <=> Succinate_c0 + LL_2_6_Diaminopimelate_c0,ZMO1632,0,1000,0,3.5.1.18,3.5.1.18,"{'bigg.reaction': 'SDPDS', 'EcoCyc': 'SUCCDIAMINOPIMDESUCC-RXN', 'kegg.reaction': 'R02734', 'biocyc': 'META:SUCCDIAMINOPIMDESUCC-RXN', 'RiceCyc': 'SUCCDIAMINOPIMDESUCC-RXN', 'seed.reaction': 'rxn01973', 'ec-code': '3.5.1.18', 'rhea': '22608','sbo':'SBO:0000176'}","Arginine; urea cycle, polyamines; Lysine, threonine, methionine, and cysteine; Lysine Biosynthesis; a carboxypeptidase, a reductase, and a step from lysibe biosynthesis",Lysine biosynthesis,Amino acids,,lysine metabolism
rxn01974,rxn01974_c0,LL_2_6_Diaminoheptanedioate_2_epimerase_c0,"{""cpd00504_c0"":-1.0,""cpd00516_c0"":1.0}",cpd00504_c0 <=> cpd00516_c0,26dap-LL_c <=> 26dap-M_c,LL_2_6_Diaminopimelate_c0 <=> meso_2_6_Diaminopimelate_c0,ZMO1072,-1000,1000,0,5.1.1.7,5.1.1.7,"{'AraCyc': 'DIAMINOPIMEPIM-RXN', 'bigg.reaction': 'DAPE', 'BrachyCyc': 'DIAMINOPIMEPIM-RXN', 'kegg.reaction': 'R02735', 'biocyc': 'META:DIAMINOPIMEPIM-RXN', 'seed.reaction': 'rxn01974', 'ec-code': '5.1.1.7', 'rhea': '15396','sbo':'SBO:0000176'}","Lysine, threonine, methionine, and cysteine; Hypothetical in Lysine biosynthetic cluster; 271-Bsub",Biosynthesis of secondary metabolites,Amino acids,,lysine metabolism
rxn01997,rxn01997_c0,dTDPglucose_4_6_hydro_lyase_c0,"{""cpd00626_c0"":-1.0,""cpd00001_c0"":1.0,""cpd00521_c0"":1.0}",cpd00626_c0 --> cpd00001_c0 + cpd00521_c0,dtdpglu_c --> h2o_c + dtdp4d6dg_c,dTDPglucose_c0 --> H2O_c0 + dTDP_4_oxo_6_deoxy_D_glucose_c0,ZMO0941,0,1000,0,4.2.1.46,4.2.1.46,"{'AraCyc': 'DTDPGLUCDEHYDRAT-RXN', 'bigg.reaction': 'TDPGDH', 'ChlamyCyc': 'DTDPGLUCDEHYDRAT-RXN', 'kegg.reaction': 'R06513', 'biocyc': 'META:DTDPGLUCDEHYDRAT-RXN', 'seed.reaction': 'rxn01997', 'ec-code': '4.2.1.46', 'rhea': '17221','sbo':'SBO:0000176'}",Capsular and extracellular polysacchrides; Cell wall of Mycobacteria; CBSS-296591.1.peg.2330; Clustering-based subsystems,Biosynthesis of vancomycin group antibiotics,Terpenoids and polyketides,,
rxn02000,rxn02000_c0,dTDP_4_dehydro_6_deoxy_D_glucose_3_5_epimerase_c0,"{""cpd00521_c0"":-1.0,""cpd00522_c0"":1.0}",cpd00521_c0 --> cpd00522_c0,dtdp4d6dg_c --> dtdp4d6dm_c,dTDP_4_oxo_6_deoxy_D_glucose_c0 --> dTDP_4_oxo_L_rhamnose_c0,,0,1000,0,5.1.3.13,5.1.3.13,"{'AraCyc': 'DTDPDEHYDRHAMEPIM-RXN', 'bigg.reaction': 'TDPDRE; TDPDREi', 'BrachyCyc': 'DTDPDEHYDRHAMEPIM-RXN', 'kegg.reaction': 'R06514', 'biocyc': 'META:DTDPDEHYDRHAMEPIM-RXN', 'seed.reaction': 'rxn02000', 'ec-code': '5.1.3.13', 'rhea': '16969','sbo':'SBO:0000176'}",Capsular and extracellular polysacchrides; Cell wall of Mycobacteria,Polyketide sugar unit biosynthesis,Terpenoids and polyketides,,
rxn02003,rxn02003_c0,dTDP_6_deoxy_L_mannose_NADP_plus__4_oxidoreductase_c0,"{""cpd00005_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00522_c0"":-1.0,""cpd00006_c0"":1.0,""cpd02113_c0"":1.0}",cpd00005_c0 + cpd00067_c0 + cpd00522_c0 --> cpd00006_c0 + cpd02113_c0,nadph_c + h_c + dtdp4d6dm_c --> nadp_c + dtdprmn_c,NADPH_c0 + H_plus_c0 + dTDP_4_oxo_L_rhamnose_c0 --> NADP_c0 + dTDP_rhamnose_c0,,0,1000,0,1.1.1.133,1.1.1.133,"{'AraCyc': 'DTDPDEHYRHAMREDUCT-RXN', 'bigg.reaction': 'TDPDRR', 'BrachyCyc': 'DTDPDEHYRHAMREDUCT-RXN', 'kegg.reaction': 'R02777', 'biocyc': 'META:DTDPDEHYRHAMREDUCT-RXN', 'seed.reaction': 'rxn02003', 'ec-code': '1.1.1.133', 'rhea': '21796','sbo':'SBO:0000176'}",Capsular and extracellular polysacchrides; Cell wall of Mycobacteria,Polyketide sugar unit biosynthesis,Terpenoids and polyketides,,
rxn02008,rxn02008_c0,UDP_N_acetylmuramoyl_L_alanine_D_glutamate_ligaseADP_forming_c0,"{""cpd00002_c0"":-1.0,""cpd00186_c0"":-1.0,""cpd00890_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00009_c0"":1.0,""cpd00067_c0"":1.0,""cpd00525_c0"":1.0}",cpd00002_c0 + cpd00186_c0 + cpd00890_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00525_c0,atp_c + glu-D_c + uama_c --> adp_c + pi_c + h_c + uamag_c,ATP_c0 + D_Glutamate_c0 + UDP_N_acetylmuramoyl_L_alanine_c0 --> ADP_c0 + Phosphate_c0 + H_plus_c0 + UDP_N_acetylmuramoyl_L_alanyl_D_glutamate_c0,ZMO0829,0,1000,0,6.3.2.9,6.3.2.9,"{'bigg.reaction': 'UAMAGS', 'BrachyCyc': 'UDP-NACMURALA-GLU-LIG-RXN', 'EcoCyc': 'UDP-NACMURALA-GLU-LIG-RXN', 'kegg.reaction': 'R02783', 'biocyc': 'META:UDP-NACMURALA-GLU-LIG-RXN', 'seed.reaction': 'rxn02008', 'ec-code': '6.3.2.9', 'rhea': '16430','sbo':'SBO:0000176'}",Peptidoglycan_Biosynthesis; Peptidoglycan_Biosynthesis_2; 271-Bsub; COG2302; Peptidoglycan_Biosynthesis_experimental,D-Glutamine and D-glutamate metabolism,Lipid,,peptidoglycan biosynthesis
rxn02009,rxn02009_c0,UDP_N_acetylmuramoyl_L_alanyl_D_glutamate_L_lysine_gamma_ligase_ADP_forming_c0,"{""cpd00002_c0"":-1.0,""cpd00039_c0"":-1.0,""cpd00525_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00009_c0"":1.0,""cpd00067_c0"":1.0,""cpd02861_c0"":1.0}",cpd00002_c0 + cpd00039_c0 + cpd00525_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd02861_c0,atp_c + lys-L_c + uamag_c <=> adp_c + pi_c + h_c + uAgl_c,ATP_c0 + L_Lysine_c0 + UDP_N_acetylmuramoyl_L_alanyl_D_glutamate_c0 <=> ADP_c0 + Phosphate_c0 + H_plus_c0 + UDP_N_acetylmuramoyl_L_alanyl_D_glutamyl_L_lysine_c0,ZMO0215,-1000,1000,0,6.3.2.7,6.3.2.7,"{'AraCyc': '6.3.2.7-RXN', 'bigg.reaction': 'UAAGLS1; UAAGLS2', 'CornCyc': '6.3.2.7-RXN', 'kegg.reaction': 'R02786', 'biocyc': 'META:6.3.2.7-RXN', 'seed.reaction': 'rxn02009', 'ec-code': '6.3.2.7', 'rhea': '17970','sbo':'SBO:0000176'}",,Peptidoglycan biosynthesis,Lipid,,
rxn02011,rxn02011_c0,UDP_N_acetylmuramoyl_L_alanyl_D_glutamate_L_meso_2_6_diaminoheptanedioate_gamma_ligase_ADP_forming_c0,"{""cpd00002_c0"":-1.0,""cpd00516_c0"":-1.0,""cpd00525_c0"":-1.0,""cpd00008_c0"":1.0,""cpd00009_c0"":1.0,""cpd00067_c0"":1.0,""cpd02964_c0"":1.0}",cpd00002_c0 + cpd00516_c0 + cpd00525_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd02964_c0,atp_c + 26dap-M_c + uamag_c --> adp_c + pi_c + h_c + ugmd_c,ATP_c0 + meso_2_6_Diaminopimelate_c0 + UDP_N_acetylmuramoyl_L_alanyl_D_glutamate_c0 --> ADP_c0 + Phosphate_c0 + H_plus_c0 + UDP_N_acetylmuramoyl_L_alanyl_D_gamma_glutamyl_meso_2_6_diaminopimelate_c0,ZMO0826,0,1000,0,6.3.2.13,6.3.2.13,"{'AraCyc': 'UDP-NACMURALGLDAPLIG-RXN', 'bigg.reaction': 'UAAGDS', 'BrachyCyc': 'UDP-NACMURALGLDAPLIG-RXN', 'kegg.reaction': 'R02788', 'biocyc': 'META:UDP-NACMURALGLDAPLIG-RXN', 'seed.reaction': 'rxn02011', 'ec-code': '6.3.2.13', 'rhea': '23677','sbo':'SBO:0000176'}",Peptidoglycan_Biosynthesis; Peptidoglycan_Biosynthesis_2; 271-Bsub; Peptidoglycan_Biosynthesis_experimental; Resistance to antibiotics and toxic compounds,Lysine biosynthesis,Lipid,,peptidoglycan biosynthesis
rxn02015,rxn02015_c0,Taurocholate_amidohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd03047_c0"":-1.0,""cpd00210_c0"":1.0,""cpd00526_c0"":1.0}",cpd00001_c0 + cpd03047_c0 <=> cpd00210_c0 + cpd00526_c0,h2o_c + tchola_c --> taur_c + Cholate_c,H2O_c0 + Taurocholate_c0 <=> Taurine_c0 + Cholate_c0,ZMO0195 or ZMOp36x001,0,1000,0,3.5.1.24,3.5.1.24,"{'kegg.reaction': 'R02797', 'biocyc': 'META:RXN-17385', 'seed.reaction': 'rxn02015', 'ec-code': '3.5.1.74','sbo':'SBO:0000176'}",,Primary bile acid biosynthesis,Lipid,,
rxn02056,rxn02056_c0,S_Adenosyl_L_methionine_uroporphyrin_III_C_methyltransferase_c0,"{""cpd00067_c0"":-2.0,""cpd00557_c0"":-1.0,""cpd03426_c0"":1.0,""cpd10515_c0"":1.0}",2.0 cpd00067_c0 + cpd00557_c0 <=> cpd03426_c0 + cpd10515_c0,2.0 h_c + sheme_c <=> scl_c + fe2_c,2.0 H_plus_c0 + Siroheme_c0 <=> Sirohydrochlorin_c0 + Fe2_plus_c0,ZMO1271 or ZMO0006,-1000,1000,0,4.99.1.4,4.99.1.4,"{'AraCyc': 'SIROHEME-FERROCHELAT-RXN', 'bigg.reaction': 'SHCHF', 'BrachyCyc': 'SIROHEME-FERROCHELAT-RXN', 'kegg.reaction': 'R02864', 'biocyc': 'META:SIROHEME-FERROCHELAT-RXN', 'seed.reaction': 'rxn02056', 'ec-code': '4.99.1.4', 'rhea': '24361','sbo':'SBO:0000176'}",Tetrapyrroles; Heme_temp_review,Porphyrin and chlorophyll metabolism,Cofactor/vitamin,,heme metabolism
rxn02090,rxn02090_c0,Creatinine_iminohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00585_c0"":-1.0,""cpd00013_c0"":1.0,""cpd01679_c0"":1.0}",cpd00001_c0 + cpd00067_c0 + cpd00585_c0 <=> cpd00013_c0 + cpd01679_c0,h2o_c + h_c + Creatinine_c <=> nh4_c + N-Methylhydantoin_c,H2O_c0 + H_plus_c0 + Creatinine_c0 <=> NH3_c0 + N_Methylhydantoin_c0,ZMO0474 or ZMO1698,-1000,1000,0,3.5.4.1|3.5.4.21,3.5.4.1|3.5.4.21,"{'kegg.reaction': 'R02922', 'biocyc': 'META:CREATININE-DEAMINASE-RXN', 'seed.reaction': 'rxn02090', 'ec-code': '3.5.4.21', 'rhea': '12682','sbo':'SBO:0000176'}",,Arginine and proline metabolism,Amino acids,,
